Spatial_contribution,Score,Rel_Score,Year,Producing_country,Method_name,Midpoint,Midpoint_abb,Unit
SA,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
SR,9.604524241160248e-07,5.7045305566236e-05,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
IN,1.4101939216172757e-07,8.37573430462686e-06,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
GN,1.605860113584246e-08,9.537878043293631e-07,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
BA,1.1577537920225512e-08,6.876386292343467e-07,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
IE,1.1570247090941603e-06,6.872055962450087e-05,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
UA,2.568088294478283e-10,1.525295556564604e-08,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
SK,1.2344402448167244e-11,7.331859361346401e-10,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
US,3.4659589053211198e-06,0.00020585786434558,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
VN,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
KZ,2.13098671368467e-08,1.2656825594626851e-06,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
RO,7.719313396858125e-08,4.584824614197814e-06,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
ID,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
CN,1.8344608899419972e-05,0.0010895634118719118,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
IT,2.4920797483343816e-06,0.00014801508869114987,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
AU,0.0005079973369110385,0.030172096590412287,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
AZ,4.379400490559655e-12,2.6011099863778367e-10,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
SI,1.0812866797441098e-08,6.422215978836672e-07,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
FR,5.006797066546984e-07,2.9737471778696235e-05,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
VE,7.598016578306686e-08,4.512781336418099e-06,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
RU,7.719544832162123e-10,4.5849620733504375e-08,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
GB,2.932053145484182e-08,1.7414695764293599e-06,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
GLO,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
DE,5.628152597529925e-06,0.0003342796338871176,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
HU,5.625534764655747e-07,3.341241497918317e-05,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
GR,2.4447857694940736e-07,1.4520610054489e-05,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
JM,2.865605953630852e-06,0.00017020037968850976,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
JP,4.116281676454355e-07,2.4448326656695566e-05,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
TR,8.870963595039499e-10,5.268838062559276e-08,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
AR,0.022177468031544505,0.589722955455135,2000,AR,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
ME,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
ES,4.4388783190146806e-06,0.0001180345942770255,2000,AR,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
IR,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
CA,1.4464754050561119e-08,3.8463351616584293e-07,2000,AR,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
BR,0.01431897293623312,0.38075703804540245,2000,AR,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
SA,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
SR,2.2769435887319355e-06,6.0546402350426664e-05,2000,AR,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
IN,3.1885670168313687e-07,8.478745915259485e-06,2000,AR,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
GN,3.771845553848578e-08,1.0029746878101954e-06,2000,AR,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
BA,2.6649037963495628e-08,7.08626855216991e-07,2000,AR,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
IE,2.6632255521895657e-06,7.0818059187232e-05,2000,AR,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
UA,5.911143201260882e-10,1.5718371609454302e-08,2000,AR,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
SK,2.840707815386155e-11,7.553750527748389e-10,2000,AR,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
US,5.5840499161474045e-06,0.00014848595048251362,2000,AR,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
VN,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
KZ,5.005263340918053e-08,1.3309538699544101e-06,2000,AR,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
RO,1.776820724918218e-07,4.724759236366862e-06,2000,AR,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
ID,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
CN,4.0746193497718695e-05,0.0010834855276915948,2000,AR,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
IT,5.736191976950389e-06,0.00015253157307649746,2000,AR,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
AU,0.0010240741919006803,0.027231244711704787,2000,AR,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
AZ,1.0286339469488982e-11,2.7352493549460377e-10,2000,AR,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
SI,2.488761060142524e-08,6.617885890856995e-07,2000,AR,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
