Database,Code,Name,Location,Unit,Amount_fu,Method_name,Midpoint,Midpoint_abb,Midpoint_unit,Score,Year,Consumption_model
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,TH,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,16.725922467514163,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,TH,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.015705687282628934,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,TH,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.004913102757697881,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,TH,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,6.575105257632457e-07,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,TH,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.04207340531422856,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,TH,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.0842364315058425,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,MX,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,11.444319017439394,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,MX,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.008688505892095579,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,MX,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.002798789303207402,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,MX,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,6.491406617419911e-07,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,MX,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.02393844117922779,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,MX,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.05471738602006007,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,BR,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,7.4354536189499765,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,BR,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0011086058147479082,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,BR,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0009818252912551946,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,BR,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,6.463774387403835e-07,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,BR,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.0169601123578487,2000,kastner
