Year,Mineral,Producer_region,Consumer_region,type,value
2017,alumina,Oceania,Africa,Embodied,0.010629520192172302
2017,alumina,Oceania,China,Embodied,0.010600621855269454
2017,alumina,Oceania,Europe,Embodied,0.015137024157920112
2017,alumina,Oceania,GCC,Embodied,0.006005292109398334
2017,alumina,Oceania,North America,Embodied,0.010410487250171869
2017,alumina,Oceania,Oceania,Domestic,0.005792990226196181
2017,alumina,Oceania,Oceania,Embodied,0.005629599300532587
2017,alumina,Oceania,Rest of Asia,Embodied,0.10864882725741437
2017,alumina,Oceania,South America,Embodied,0.00347455559346739
2017,alumina,Rest of Asia,Africa,Embodied,0.001541212103885111
2017,alumina,Rest of Asia,China,Embodied,0.012069198936323277
2017,alumina,Rest of Asia,Europe,Embodied,0.00020636015748610784
2017,alumina,Rest of Asia,GCC,Embodied,0.008537014724882613
2017,alumina,Rest of Asia,North America,Embodied,7.683409658683458e-05
2017,alumina,Rest of Asia,Oceania,Embodied,0.0001857089684749127
2017,alumina,Rest of Asia,Rest of Asia,Domestic,0.0438930392902722
2017,alumina,Rest of Asia,Rest of Asia,Embodied,0.004533615835538538
2017,alumina,Rest of Asia,South America,Embodied,4.6677014480838685e-06
2017,alumina,South America,Africa,Embodied,0.004140412474912385
2017,alumina,South America,China,Embodied,0.0003883567467327617
2017,alumina,South America,Europe,Embodied,0.034735853509284105
2017,alumina,South America,GCC,Embodied,0.009827300335957589
2017,alumina,South America,North America,Embodied,0.03735055388955313
2017,alumina,South America,Oceania,Embodied,5.610041927539515e-07
2017,alumina,South America,Rest of Asia,Embodied,0.0007552990557020948
2017,alumina,South America,South America,Domestic,0.01796652648044856
2017,alumina,South America,South America,Embodied,0.003901023308652721
2017,aluminium,Africa,Africa,Domestic,0.007848689087384052
2017,aluminium,Africa,Africa,Embodied,0.00017499190877724683
2017,aluminium,Africa,China,Embodied,0.0003932286344203503
2017,aluminium,Africa,Europe,Embodied,0.014265405855679786
2017,aluminium,Africa,GCC,Embodied,2.4610709474101945e-05
2017,aluminium,Africa,North America,Embodied,0.0014849596573983119
2017,aluminium,Africa,Oceania,Embodied,1.698694253851886e-06
2017,aluminium,Africa,Rest of Asia,Embodied,0.0037185451440122945
2017,aluminium,Africa,South America,Embodied,0.00029548369050568093
2017,aluminium,China,Africa,Embodied,2.0748622467484185e-05
2017,aluminium,China,China,Domestic,0.537755750680889
2017,aluminium,China,Europe,Embodied,0.00013099833466975933
2017,aluminium,China,GCC,Embodied,1.0129839692181785e-05
2017,aluminium,China,North America,Embodied,0.00010533720495701764
2017,aluminium,China,Oceania,Embodied,2.935706711967505e-05
2017,aluminium,China,Rest of Asia,Embodied,0.008699779541910565
2017,aluminium,China,South America,Embodied,7.120006854289666e-05
2017,aluminium,Europe,Africa,Embodied,0.00015346935856414383
2017,aluminium,Europe,China,Embodied,0.00036255016795756615
2017,aluminium,Europe,Europe,Domestic,0.03812446786187731
2017,aluminium,Europe,Europe,Embodied,0.06632422545739655
2017,aluminium,Europe,GCC,Embodied,1.1176301262026438e-05
2017,aluminium,Europe,North America,Embodied,0.011801258905507832
2017,aluminium,Europe,Oceania,Embodied,1.81214616015926e-05
2017,aluminium,Europe,Rest of Asia,Embodied,0.017394041817749655
2017,aluminium,Europe,South America,Embodied,0.003389646590612558
2017,aluminium,GCC,Africa,Embodied,0.0013811601228616588
2017,aluminium,GCC,China,Embodied,0.0009040312712843554
2017,aluminium,GCC,Europe,Embodied,0.020340680038896667
2017,aluminium,GCC,GCC,Domestic,0.015253306807770551
2017,aluminium,GCC,GCC,Embodied,0.0010677837383620368
2017,aluminium,GCC,North America,Embodied,0.015029225745681255
2017,aluminium,GCC,Oceania,Embodied,6.670042700430132e-05
2017,aluminium,GCC,Rest of Asia,Embodied,0.031019741111191115
2017,aluminium,GCC,South America,Embodied,0.0021002329407513684
2017,aluminium,North America,Africa,Embodied,3.0501401406250245e-06
2017,aluminium,North America,China,Embodied,3.46169018577998e-05
2017,aluminium,North America,Europe,Embodied,0.0005349407390202077
2017,aluminium,North America,GCC,Embodied,2.959902835863871e-06
2017,aluminium,North America,North America,Domestic,0.01842400563501166
2017,aluminium,North America,North America,Embodied,0.03775232146062126
2017,aluminium,North America,Oceania,Embodied,8.40258786817172e-07
2017,aluminium,North America,Rest of Asia,Embodied,0.003939368918893385
2017,aluminium,North America,South America,Embodied,0.005365180224510821
2017,aluminium,Oceania,Africa,Embodied,0.00020440770804528883
2017,aluminium,Oceania,China,Embodied,0.0005867847817602811
2017,aluminium,Oceania,Europe,Embodied,0.0008668574906299284
2017,aluminium,Oceania,GCC,Embodied,1.4155557987683477e-05
2017,aluminium,Oceania,North America,Embodied,0.001476350217212331
2017,aluminium,Oceania,Oceania,Domestic,0.004075783193917737
2017,aluminium,Oceania,Oceania,Embodied,1.6020960670296672e-05
2017,aluminium,Oceania,Rest of Asia,Embodied,0.021810252868888394
2017,aluminium,Oceania,South America,Embodied,0.0007946464034020146
2017,aluminium,Rest of Asia,Africa,Embodied,0.00012645320547100217
2017,aluminium,Rest of Asia,China,Embodied,0.0008819732099117211
