Location,Stage,Score,Rel_Score,Year,Method_name,Midpoint,Midpoint_abb,Unit
TR,Primary Aluminium Ingot production,11184032.730892388,2.9534668445226876e-05,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
AU,Primary Aluminium Ingot production,324336949.19587964,0.0008565053849115805,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
DE,Primary Aluminium Ingot production,146512673.1402764,0.00038690902721246666,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
SI,Primary Aluminium Ingot production,19079661.241888378,5.038535583590479e-05,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
SE,Primary Aluminium Ingot production,22950236.911483843,6.060672873817656e-05,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
SR,Primary Aluminium Ingot production,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
NO,Primary Aluminium Ingot production,233526857.08753115,0.0006166951101712111,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
IN,Primary Aluminium Ingot production,118019047.03074418,0.00031166337833102374,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
CA,Primary Aluminium Ingot production,452116305.93889356,0.0011939436798769562,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
CN,Primary Aluminium Ingot production,513365436.8278483,0.0013556896991251707,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
KZ,Primary Aluminium Ingot production,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
IT,Primary Aluminium Ingot production,43099998.48555451,0.00011381799355294475,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
MX,Primary Aluminium Ingot production,11184032.730892388,2.9534668445226876e-05,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
ID,Primary Aluminium Ingot production,29335167.81873426,7.74679828071528e-05,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
UA,Primary Aluminium Ingot production,19131103.758815892,5.052120465877575e-05,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
VE,Primary Aluminium Ingot production,104666045.3292547,0.00027640092090699454,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
ME,Primary Aluminium Ingot production,16278242.542889634,4.2987400693780944e-05,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
HU,Primary Aluminium Ingot production,7706999.200929847,2.0352557220111884e-05,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
ES,Primary Aluminium Ingot production,83262913.08065125,0.00021987976884475379,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
MZ,Primary Aluminium Ingot production,9863950.1790494,2.6048609218905143e-05,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
GLO,Primary Aluminium Liquid production,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
AR,Primary Aluminium Liquid production,1219266972.6376407,0.0032198265732538583,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
GR,Primary Aluminium Liquid production,1329105489.4978065,0.003509886899080678,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
CM,Primary Aluminium Liquid production,1248841497.4252005,0.0032979266472649995,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
IR,Primary Aluminium Liquid production,3240405471.6627913,0.008557226497496417,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
GH,Primary Aluminium Liquid production,1980589983.6457329,0.005230319858715807,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
RO,Primary Aluminium Liquid production,1420607602.8715067,0.003751524655832321,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
MY,Primary Aluminium Liquid production,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
BH,Primary Aluminium Liquid production,6324131781.53495,0.016700696418352954,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
AZ,Primary Aluminium Liquid production,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
BA,Primary Aluminium Liquid production,977135763.6487669,0.0025804091868959667,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
RU,Primary Aluminium Liquid production,33376900558.318447,0.08814134538397286,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
NZ,Primary Aluminium Liquid production,5503993134.4313755,0.014534883459453625,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
EG,Primary Aluminium Liquid production,2732346765.759436,0.007215550753994785,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
TJ,Primary Aluminium Liquid production,6230836806.9401655,0.01645432409375739,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
OM,Primary Aluminium Liquid production,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
SA,Primary Aluminium Liquid production,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
US,Primary Aluminium Liquid production,46813897122.742516,0.1236256155018279,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
BR,Primary Aluminium Liquid production,5933839661.189925,0.01567001735575197,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
NL,Primary Aluminium Liquid production,2393876830.1115084,0.006321723136660803,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
ZA,Primary Aluminium Liquid production,9736493618.435211,0.02571202336034349,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
IS,Primary Aluminium Liquid production,1777356347.1825578,0.004693622746476696,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
NG,Primary Aluminium Liquid production,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
FR,Primary Aluminium Liquid production,3500281156.232654,0.009243503296342555,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
GB,Primary Aluminium Liquid production,2420854560.3812428,0.006392965624776964,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
PL,Primary Aluminium Liquid production,372459304.8798952,0.0009835863631355484,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
AE,Primary Aluminium Liquid production,5839135658.480168,0.015419924085482602,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
HR,Primary Aluminium Liquid production,119416129.57632811,0.00031535277827890305,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
QA,Primary Aluminium Liquid production,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
SK,Primary Aluminium Liquid production,1085083984.5815024,0.002865477640397001,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
CH,Primary Aluminium Liquid production,281670712.75101465,0.0007438328653002939,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
JP,Primary Aluminium Liquid production,151280644.01991436,0.0003995002313402614,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
TR,Primary Aluminium Liquid production,1411890955.5102146,0.003728505831052006,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
AU,Primary Aluminium Liquid production,29648489204.65619,0.07829539841587525,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
DE,Primary Aluminium Liquid production,5105932184.874881,0.013483688559632799,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
SI,Primary Aluminium Liquid production,664921704.8834754,0.0017559177953336944,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
SE,Primary Aluminium Liquid production,799810356.2321523,0.002112130235914517,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
SR,Primary Aluminium Liquid production,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
NO,Primary Aluminium Liquid production,8138356021.217938,0.0214916794826573,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
IN,Primary Aluminium Liquid production,14898921443.63817,0.039344904974560405,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
CA,Primary Aluminium Liquid production,5743270263.251281,0.015166763822848973,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
CN,Primary Aluminium Liquid production,66483126421.713684,0.17556789606343917,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
KZ,Primary Aluminium Liquid production,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
IT,Primary Aluminium Liquid production,1502024805.9002593,0.003966530294232314,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
MX,Primary Aluminium Liquid production,778436959.9506086,0.0020556876102612327,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
ID,Primary Aluminium Liquid production,3703320539.0431857,0.00977968742571018,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
UA,Primary Aluminium Liquid production,1065592264.3580257,0.002814004123814975,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
VE,Primary Aluminium Liquid production,2652663310.4021072,0.007005123577038468,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
ME,Primary Aluminium Liquid production,906689417.9095006,0.002394375265621754,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
HU,Primary Aluminium Liquid production,268587108.7148639,0.0007092818302153393,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
ES,Primary Aluminium Liquid production,2901692929.3065267,0.00766275820708272,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
MZ,Primary Aluminium Liquid production,777779132.2637953,0.00205395042626941,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
