Database,Code,Name,Location,Unit,Amount_fu,Method_name,Midpoint,Midpoint_abb,Midpoint_unit,Score,Year
ecoinvent 3.4 cutoff to edit,c1c9ada891df4ac8bea76e5e107d937d,alumina production,IN,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0009815307805927536,2000
ecoinvent 3.4 cutoff to edit,c1c9ada891df4ac8bea76e5e107d937d,alumina production,IN,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0003654098931678685,2000
ecoinvent 3.4 cutoff to edit,c1c9ada891df4ac8bea76e5e107d937d,alumina production,IN,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,1.8548729509578729e-07,2000
ecoinvent 3.4 cutoff to edit,c1c9ada891df4ac8bea76e5e107d937d,alumina production,IN,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.006793150116935617,2000
ecoinvent 3.4 cutoff to edit,c1c9ada891df4ac8bea76e5e107d937d,alumina production,IN,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.015359883560242406,2000
ecoinvent 3.4 cutoff to edit,213418c6635b46c89fde40897dca1d95,alumina production,SK,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,1.6245301123337652,2000
ecoinvent 3.4 cutoff to edit,213418c6635b46c89fde40897dca1d95,alumina production,SK,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.000563658450487733,2000
ecoinvent 3.4 cutoff to edit,213418c6635b46c89fde40897dca1d95,alumina production,SK,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.00020175298982491835,2000
ecoinvent 3.4 cutoff to edit,213418c6635b46c89fde40897dca1d95,alumina production,SK,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,2.680675742200063e-07,2000
ecoinvent 3.4 cutoff to edit,213418c6635b46c89fde40897dca1d95,alumina production,SK,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.004153678899369438,2000
