Database,Code,Name,Location,Unit,Amount_fu,Method_name,Midpoint,Midpoint_abb,Midpoint_unit,Score,Year,Type
ecoinvent 3.4 cutoff to edit,54e0b73a67514bf6b15b4254487a6cf1,"aluminium production, primary, ingot",JP,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,5.573346977880206e-07,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,54e0b73a67514bf6b15b4254487a6cf1,"aluminium production, primary, ingot",JP,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.06705599749560302,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,54e0b73a67514bf6b15b4254487a6cf1,"aluminium production, primary, ingot",JP,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.11979471824938051,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,0af8022a567f4f538d6e4b28be75257d,"aluminium production, primary, ingot",IN,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,26.620915936273683,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,0af8022a567f4f538d6e4b28be75257d,"aluminium production, primary, ingot",IN,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.014198796938845792,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,0af8022a567f4f538d6e4b28be75257d,"aluminium production, primary, ingot",IN,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.005397231509965972,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,0af8022a567f4f538d6e4b28be75257d,"aluminium production, primary, ingot",IN,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,5.573346977880206e-07,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,0af8022a567f4f538d6e4b28be75257d,"aluminium production, primary, ingot",IN,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.06705599749560302,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,0af8022a567f4f538d6e4b28be75257d,"aluminium production, primary, ingot",IN,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.11979471824938051,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,230f8c36caf2409c9338ac0d62682e8e,"aluminium production, primary, ingot",CA,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,5.940456492652517,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,230f8c36caf2409c9338ac0d62682e8e,"aluminium production, primary, ingot",CA,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0014719146010553706,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,230f8c36caf2409c9338ac0d62682e8e,"aluminium production, primary, ingot",CA,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0008289564051030076,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,230f8c36caf2409c9338ac0d62682e8e,"aluminium production, primary, ingot",CA,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,4.598450965430886e-07,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,230f8c36caf2409c9338ac0d62682e8e,"aluminium production, primary, ingot",CA,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.016351412826843548,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,230f8c36caf2409c9338ac0d62682e8e,"aluminium production, primary, ingot",CA,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.04013306386967552,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,1926fabc0667490bbee0d869e62bb3e3,"aluminium production, primary, ingot",SR,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,8.119384984177493,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,1926fabc0667490bbee0d869e62bb3e3,"aluminium production, primary, ingot",SR,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0015172872324697168,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,1926fabc0667490bbee0d869e62bb3e3,"aluminium production, primary, ingot",SR,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.001125500171050064,2000,globalized_for_alumina
