Year,Category,Region,value
1997,DC,Asia (ex China),ND
1998,AC,Asia (ex China),15831
1998,DC,Asia (ex China),ND
1999,AC,Asia (ex China),15323
1999,DC,Asia (ex China),ND
2000,AC,Asia (ex China),15348
2000,DC,Asia (ex China),ND
2001,AC,Asia (ex China),15387
2001,DC,Asia (ex China),ND
2002,AC,Asia (ex China),15366
2002,DC,Asia (ex China),ND
2003,AC,Asia (ex China),15413
2003,DC,Asia (ex China),ND
2004,AC,Asia (ex China),15427
2004,DC,Asia (ex China),ND
2005,AC,Asia (ex China),15082
2005,DC,Asia (ex China),ND
2006,AC,Asia (ex China),15314
2006,DC,Asia (ex China),14258
2007,AC,Asia (ex China),15174
2007,DC,Asia (ex China),14206
2008,AC,Asia (ex China),15035
2008,DC,Asia (ex China),14291
2009,AC,Asia (ex China),14734
2009,DC,Asia (ex China),13868
2010,AC,Asia (ex China),14899
2010,DC,Asia (ex China),14070
2011,AC,Asia (ex China),14756
2011,DC,Asia (ex China),13983
2012,AC,Asia (ex China),14939
2012,DC,Asia (ex China),14103
2013,DC,Asia (ex China),14003
2013,AC,Asia (ex China),14749
2014,DC,Asia (ex China),13902
2014,AC,Asia (ex China),14714
2015,DC,Asia (ex China),13928
2015,AC,Asia (ex China),14891
1980,AC,South America,17348
1980,DC,South America,ND
1981,AC,South America,17396
1981,DC,South America,ND
1982,AC,South America,17135
1982,DC,South America,ND
1983,AC,South America,16905
1983,DC,South America,ND
1984,AC,South America,16357
1984,DC,South America,ND
1985,AC,South America,16284
1985,DC,South America,ND
1986,AC,South America,16463
1986,DC,South America,ND
1987,AC,South America,15922
1987,DC,South America,ND
1988,AC,South America,16067
1988,DC,South America,ND
1989,AC,South America,15867
1989,DC,South America,ND
1990,AC,South America,16067
1990,DC,South America,ND
1991,AC,South America,15947
1991,DC,South America,ND
1992,AC,South America,15755
1992,DC,South America,ND
1993,AC,South America,15465
1993,DC,South America,ND
1994,AC,South America,15636
1994,DC,South America,ND
1995,AC,South America,15607
1995,DC,South America,ND
1996,AC,South America,15678
1996,DC,South America,ND
1997,AC,South America,15654
1997,DC,South America,ND
1998,AC,South America,15958
1998,DC,South America,ND
1999,AC,South America,15340
1999,DC,South America,ND
2000,AC,South America,15357
2000,DC,South America,ND
2001,AC,South America,15275
2001,DC,South America,ND
2002,AC,South America,15307
2002,DC,South America,ND
2003,AC,South America,15359
2003,DC,South America,ND
2004,AC,South America,15551
2004,DC,South America,ND
2005,AC,South America,15152
2005,DC,South America,ND
2006,AC,South America,15238
2006,DC,South America,15016
2007,AC,South America,15085
2007,DC,South America,14742
2008,AC,South America,15598
2008,DC,South America,14748
2009,AC,South America,15498
2009,DC,South America,14519
2010,AC,South America,15739
2010,DC,South America,14591
2011,AC,South America,16075
2011,DC,South America,14973
2012,AC,South America,15912
2012,DC,South America,14688
2013,DC,South America,14443
2013,AC,South America,15694
2014,DC,South America,14236
2014,AC,South America,15038
2015,DC,South America,14607
2015,AC,South America,15751
1980,AC,Europe,16669
1980,DC,Europe,ND
1981,AC,Europe,16550
1981,DC,Europe,ND
1982,AC,Europe,16375
1982,DC,Europe,ND
1983,AC,Europe,16356
1983,DC,Europe,ND
1984,AC,Europe,16151
1984,DC,Europe,ND
1985,AC,Europe,16290
1985,DC,Europe,ND
1986,AC,Europe,16219
1986,DC,Europe,ND
1987,AC,Europe,16034
1987,DC,Europe,ND
1988,AC,Europe,16157
1988,DC,Europe,ND
1989,AC,Europe,15990
1989,DC,Europe,ND
1990,AC,Europe,15897
1990,DC,Europe,ND
1991,AC,Europe,15732
1991,DC,Europe,ND
1992,AC,Europe,15402
1992,DC,Europe,ND
1993,AC,Europe,15339
1993,DC,Europe,ND
1994,AC,Europe,15563
1994,DC,Europe,ND
1995,AC,Europe,15603
1995,DC,Europe,ND
1996,AC,Europe,15440
1996,DC,Europe,ND
1997,AC,Europe,15619
1997,DC,Europe,ND
1998,AC,Europe,15548
1998,DC,Europe,ND
1999,AC,Europe,15193
1999,DC,Europe,ND
2000,AC,Europe,15242
2000,DC,Europe,ND
2001,AC,Europe,15258
2001,DC,Europe,ND
2002,AC,Europe,15351
2002,DC,Europe,ND
2003,AC,Europe,15139
2003,DC,Europe,ND
2004,AC,Europe,15275
2004,DC,Europe,ND
2005,AC,Europe,15536
2005,DC,Europe,ND
2006,AC,Europe,15688
2006,DC,Europe,14908
2007,AC,Europe,15664
2007,DC,Europe,14676
2008,AC,Europe,15680
2008,DC,Europe,14720
2009,AC,Europe,15596
2009,DC,Europe,14702
2010,AC,Europe,15838
2010,DC,Europe,14666
2011,AC,Europe,15645
2011,DC,Europe,14648
2012,AC,Europe,15697
2012,DC,Europe,14672
2013,DC,Europe,14571
2013,AC,Europe,15519
2014,DC,Europe,14211
2014,AC,Europe,15513
2015,DC,Europe,14444
2015,AC,Europe,15522
1980,AC,Oceania,16678
1980,DC,Oceania,ND
1981,AC,Oceania,16094
1981,DC,Oceania,ND
1982,AC,Oceania,16468
1982,DC,Oceania,ND
1983,AC,Oceania,16647
1983,DC,Oceania,ND
1984,AC,Oceania,15867
1984,DC,Oceania,ND
1985,AC,Oceania,15902
1985,DC,Oceania,ND
1986,AC,Oceania,15936
1986,DC,Oceania,ND
1987,AC,Oceania,15670
1987,DC,Oceania,ND
1988,AC,Oceania,15702
1988,DC,Oceania,ND
1989,AC,Oceania,15265
1989,DC,Oceania,ND
1990,AC,Oceania,15397
1990,DC,Oceania,ND
1991,AC,Oceania,15550
1991,DC,Oceania,ND
1992,AC,Oceania,15448
1992,DC,Oceania,ND
1993,AC,Oceania,15297
1993,DC,Oceania,ND
1994,AC,Oceania,15180
1994,DC,Oceania,ND
1995,AC,Oceania,15238
1995,DC,Oceania,ND
1996,AC,Oceania,15231
1996,DC,Oceania,ND
1997,AC,Oceania,15187
1997,DC,Oceania,ND
1998,AC,Oceania,15259
1998,DC,Oceania,ND
1999,AC,Oceania,14852
1999,DC,Oceania,ND
2000,AC,Oceania,14679
2000,DC,Oceania,ND
2001,AC,Oceania,14791
2001,DC,Oceania,ND
2002,AC,Oceania,14506
2002,DC,Oceania,ND
2003,AC,Oceania,14782
2003,DC,Oceania,ND
2004,AC,Oceania,14768
2004,DC,Oceania,ND
2005,AC,Oceania,14763
2005,DC,Oceania,ND
2006,AC,Oceania,14854
2006,DC,Oceania,14015
2007,AC,Oceania,14871
2007,DC,Oceania,14066
2008,AC,Oceania,14736
2008,DC,Oceania,14032
2009,AC,Oceania,14424
2009,DC,Oceania,14090
2010,AC,Oceania,14846
2010,DC,Oceania,14015
2011,AC,Oceania,15003
2011,DC,Oceania,14074
2012,AC,Oceania,14911
2012,DC,Oceania,13991
2013,DC,Oceania,13971
2013,AC,Oceania,14643
2014,DC,Oceania,13940
2014,AC,Oceania,14770
2015,DC,Oceania,13990
2015,AC,Oceania,14667
1980,AC,GCC,ND
1980,DC,GCC,ND
1981,AC,GCC,ND
1981,DC,GCC,ND
1982,AC,GCC,ND
1982,DC,GCC,ND
1983,AC,GCC,ND
1983,DC,GCC,ND
1984,AC,GCC,ND
1984,DC,GCC,ND
1985,AC,GCC,ND
1985,DC,GCC,ND
1986,AC,GCC,ND
1986,DC,GCC,ND
1987,AC,GCC,ND
1987,DC,GCC,ND
