"Year","Region","ecoinvent_activity","value"
2014,"IAI Area, Africa","electricity production, hydro, aluminium industry",0.500610918332437
2014,"IAI Area, North America, without Quebec","electricity production, hydro, aluminium industry",0.556576083735394
2014,"IAI Area, South America","electricity production, hydro, aluminium industry",0.706295365055268
2014,"IAI Area, Asia, without China and GCC","electricity production, hydro, aluminium industry",0.0334087988741357
2014,"IAI Area, Gulf Cooperation Council","electricity production, hydro, aluminium industry",0
2014,"IAI Area, EU27 & EFTA","electricity production, hydro, aluminium industry",0.842009551637991
2014,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, hydro, aluminium industry",0.842009551637991
2014,"UN-OCEANIA","electricity production, hydro, aluminium industry",0.258143863847893
2014,"GLO","electricity production, hydro, aluminium industry",0.381119216033009
2015,"CA-QC","electricity production, hydro, aluminium industry",1
2015,"CN","electricity production, hydro, aluminium industry",0.100000701841398
2015,"IAI Area, Africa","electricity production, hydro, aluminium industry",0.565870834764686
2015,"IAI Area, North America, without Quebec","electricity production, hydro, aluminium industry",0.265706060143936
2015,"IAI Area, South America","electricity production, hydro, aluminium industry",0.721801942505735
2015,"IAI Area, Asia, without China and GCC","electricity production, hydro, aluminium industry",0.144942077898385
2015,"IAI Area, Gulf Cooperation Council","electricity production, hydro, aluminium industry",0
2015,"IAI Area, EU27 & EFTA","electricity production, hydro, aluminium industry",0.823263306917482
2015,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, hydro, aluminium industry",0.823263306917482
2015,"UN-OCEANIA","electricity production, hydro, aluminium industry",0.272370864571153
2015,"GLO","electricity production, hydro, aluminium industry",0.368741587268073
2016,"CA-QC","electricity production, hydro, aluminium industry",1
2016,"CN","electricity production, hydro, aluminium industry",0.100000901132273
2016,"IAI Area, Africa","electricity production, hydro, aluminium industry",0.586965376782077
2016,"IAI Area, North America, without Quebec","electricity production, hydro, aluminium industry",0.794403923074693
2016,"IAI Area, South America","electricity production, hydro, aluminium industry",0.734977245286524
2016,"IAI Area, Asia, without China and GCC","electricity production, hydro, aluminium industry",0.10014037446371
2016,"IAI Area, Gulf Cooperation Council","electricity production, hydro, aluminium industry",0
2016,"IAI Area, EU27 & EFTA","electricity production, hydro, aluminium industry",0.769798492214472
2016,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, hydro, aluminium industry",0.769798492214472
2016,"UN-OCEANIA","electricity production, hydro, aluminium industry",0.272771418661117
2016,"GLO","electricity production, hydro, aluminium industry",0.33459607896833
2017,"CA-QC","electricity production, hydro, aluminium industry",1
2017,"CN","electricity production, hydro, aluminium industry",0.099999179578057
2017,"IAI Area, Africa","electricity production, hydro, aluminium industry",0.551138862017413
2017,"IAI Area, North America, without Quebec","electricity production, hydro, aluminium industry",0.861569191614549
2017,"IAI Area, South America","electricity production, hydro, aluminium industry",0.827776606954689
2017,"IAI Area, Asia, without China and GCC","electricity production, hydro, aluminium industry",0.0823793792255685
2017,"IAI Area, Gulf Cooperation Council","electricity production, hydro, aluminium industry",0
2017,"IAI Area, EU27 & EFTA","electricity production, hydro, aluminium industry",0.779535674440844
2017,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, hydro, aluminium industry",0.779535674440844
2017,"UN-OCEANIA","electricity production, hydro, aluminium industry",0.300164191072588
2017,"GLO","electricity production, hydro, aluminium industry",0.310629336534982
2000,"CA-QC","electricity production, coal, aluminium industry",0
2000,"CN","electricity production, coal, aluminium industry",0.899995375508694
2000,"IAI Area, Africa","electricity production, coal, aluminium industry",0.610654352967677
2000,"IAI Area, North America, without Quebec","electricity production, coal, aluminium industry",0.477819088811124
2000,"IAI Area, South America","electricity production, coal, aluminium industry",0
2000,"IAI Area, Asia, without China and GCC","electricity production, coal, aluminium industry",0.714112750662126
2000,"IAI Area, Gulf Cooperation Council","electricity production, coal, aluminium industry",0
2000,"IAI Area, EU27 & EFTA","electricity production, coal, aluminium industry",0.22790141182101
2000,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, coal, aluminium industry",0.22790141182101
2000,"UN-OCEANIA","electricity production, coal, aluminium industry",0.747527993109388
2000,"GLO","electricity production, coal, aluminium industry",0.369824068407779
2001,"CA-QC","electricity production, coal, aluminium industry",0
2001,"CN","electricity production, coal, aluminium industry",0.899998082417688
2001,"IAI Area, Africa","electricity production, coal, aluminium industry",0.64996829422955
2001,"IAI Area, North America, without Quebec","electricity production, coal, aluminium industry",0.642387139588976
2001,"IAI Area, South America","electricity production, coal, aluminium industry",0
2001,"IAI Area, Asia, without China and GCC","electricity production, coal, aluminium industry",0.71042221103359
2001,"IAI Area, Gulf Cooperation Council","electricity production, coal, aluminium industry",0
2001,"IAI Area, EU27 & EFTA","electricity production, coal, aluminium industry",0.263549481679793
2001,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, coal, aluminium industry",0.263549481679793
2001,"UN-OCEANIA","electricity production, coal, aluminium industry",0.770644246998503
2001,"GLO","electricity production, coal, aluminium industry",0.411922032551736
2002,"CA-QC","electricity production, coal, aluminium industry",0
2002,"CN","electricity production, coal, aluminium industry",0.89999849349945
2002,"IAI Area, Africa","electricity production, coal, aluminium industry",0.668340459381525
2002,"IAI Area, North America, without Quebec","electricity production, coal, aluminium industry",0.692908628373076
2002,"IAI Area, South America","electricity production, coal, aluminium industry",0
2002,"IAI Area, Asia, without China and GCC","electricity production, coal, aluminium industry",0.762538769952341
2002,"IAI Area, Gulf Cooperation Council","electricity production, coal, aluminium industry",0
2002,"IAI Area, EU27 & EFTA","electricity production, coal, aluminium industry",0.239376555575791
2002,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, coal, aluminium industry",0.239376555575791
2002,"UN-OCEANIA","electricity production, coal, aluminium industry",0.765714285714286
2002,"GLO","electricity production, coal, aluminium industry",0.424395501118591
2003,"CA-QC","electricity production, coal, aluminium industry",0
2003,"CN","electricity production, coal, aluminium industry",0.899998800225558
2003,"IAI Area, Africa","electricity production, coal, aluminium industry",0.747312348668281
2003,"IAI Area, North America, without Quebec","electricity production, coal, aluminium industry",0.690006394045724
2003,"IAI Area, South America","electricity production, coal, aluminium industry",0
2003,"IAI Area, Asia, without China and GCC","electricity production, coal, aluminium industry",0.916048603440114
2003,"IAI Area, Gulf Cooperation Council","electricity production, coal, aluminium industry",0
2003,"IAI Area, EU27 & EFTA","electricity production, coal, aluminium industry",0.245628274182838
2003,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, coal, aluminium industry",0.245628274182838
2003,"UN-OCEANIA","electricity production, coal, aluminium industry",0.772393810492571
2003,"GLO","electricity production, coal, aluminium industry",0.450246265295758
2004,"CA-QC","electricity production, coal, aluminium industry",0
2004,"CN","electricity production, coal, aluminium industry",0.899996968380206
2004,"IAI Area, Africa","electricity production, coal, aluminium industry",0.768586302261266
2004,"IAI Area, North America, without Quebec","electricity production, coal, aluminium industry",0.656742951334982
2004,"IAI Area, South America","electricity production, coal, aluminium industry",0
2004,"IAI Area, Asia, without China and GCC","electricity production, coal, aluminium industry",0.720339456200101
2004,"IAI Area, Gulf Cooperation Council","electricity production, coal, aluminium industry",0
2004,"IAI Area, EU27 & EFTA","electricity production, coal, aluminium industry",0.196252694027948
2004,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, coal, aluminium industry",0.196252694027948
2004,"UN-OCEANIA","electricity production, coal, aluminium industry",0.773371531966224
2004,"GLO","electricity production, coal, aluminium industry",0.428696482739076
2005,"CA-QC","electricity production, coal, aluminium industry",0
2005,"CN","electricity production, coal, aluminium industry",0.900003516050772
2005,"IAI Area, Africa","electricity production, coal, aluminium industry",0.724694888629315
2005,"IAI Area, North America, without Quebec","electricity production, coal, aluminium industry",0.643172263244403
2005,"IAI Area, South America","electricity production, coal, aluminium industry",0
2005,"IAI Area, Asia, without China and GCC","electricity production, coal, aluminium industry",0.760469730280444
2005,"IAI Area, Gulf Cooperation Council","electricity production, coal, aluminium industry",0
2005,"IAI Area, EU27 & EFTA","electricity production, coal, aluminium industry",0.109675016443328
2005,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, coal, aluminium industry",0.109675016443328
2005,"UN-OCEANIA","electricity production, coal, aluminium industry",0.769794765467712
2005,"GLO","electricity production, coal, aluminium industry",0.36544191694549
2006,"CA-QC","electricity production, coal, aluminium industry",0
2006,"CN","electricity production, coal, aluminium industry",0.900001455582888
2006,"IAI Area, Africa","electricity production, coal, aluminium industry",0.728932893289329
2006,"IAI Area, North America, without Quebec","electricity production, coal, aluminium industry",0.622543787832933
2006,"IAI Area, South America","electricity production, coal, aluminium industry",0
2006,"IAI Area, Asia, without China and GCC","electricity production, coal, aluminium industry",0.711564239002397
2006,"IAI Area, Gulf Cooperation Council","electricity production, coal, aluminium industry",0
2006,"IAI Area, EU27 & EFTA","electricity production, coal, aluminium industry",0.198056089127929
2006,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, coal, aluminium industry",0.198056089127929
2006,"UN-OCEANIA","electricity production, coal, aluminium industry",0.775574917022285
2006,"GLO","electricity production, coal, aluminium industry",0.41776915103875
2007,"CA-QC","electricity production, coal, aluminium industry",0
2007,"CN","electricity production, coal, aluminium industry",0.900001650319337
2007,"IAI Area, Africa","electricity production, coal, aluminium industry",0.492989068978515
2007,"IAI Area, North America, without Quebec","electricity production, coal, aluminium industry",0.545615831731699
2007,"IAI Area, South America","electricity production, coal, aluminium industry",0
2007,"IAI Area, Asia, without China and GCC","electricity production, coal, aluminium industry",0.750922213311949
2007,"IAI Area, Gulf Cooperation Council","electricity production, coal, aluminium industry",0
2007,"IAI Area, EU27 & EFTA","electricity production, coal, aluminium industry",0.201876403680359
2007,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, coal, aluminium industry",0.201876403680359
2007,"UN-OCEANIA","electricity production, coal, aluminium industry",0.772496150158352
