Year,Region,source,value
1988,Oceania,Oil,0.226489076
1988,GLO,Oil,0.358561634
1989,North America,Oil,0.046708955
1989,China,Oil,0
1989,South America,Oil,0.733971342
1989,Africa & Asia,Oil,0.535420659
1989,Europe,Oil,0.656857795
1989,Oceania,Oil,0.230654184
1989,GLO,Oil,0.383170833
1990,North America,Oil,0.046560053
1990,China,Oil,0
1990,South America,Oil,0.736229323
1990,Africa & Asia,Oil,0.420886843
1990,Europe,Oil,0.724508658
1990,Oceania,Oil,0.185304267
1990,GLO,Oil,0.372997237
1991,North America,Oil,0.041962404
1991,China,Oil,0
1991,South America,Oil,0.741810228
1991,Africa & Asia,Oil,0.461673983
1991,Europe,Oil,0.693634998
1991,Oceania,Oil,0.130097167
1991,GLO,Oil,0.362245889
1992,North America,Oil,0.049820408
1992,China,Oil,0
1992,South America,Oil,0.757751816
1992,Africa & Asia,Oil,0.479362889
1992,Europe,Oil,0.684464646
1992,Oceania,Oil,0.125243199
1992,GLO,Oil,0.370856838
1993,North America,Oil,0.040817804
1993,China,Oil,0
1993,South America,Oil,0.742219276
1993,Africa & Asia,Oil,0.465471152
1993,Europe,Oil,0.693070312
1993,Oceania,Oil,0.132588558
1993,GLO,Oil,0.376471108
1994,North America,Oil,0.036160047
1994,China,Oil,0
1994,South America,Oil,0.745671896
1994,Africa & Asia,Oil,0.474389009
1994,Europe,Oil,0.688288354
1994,Oceania,Oil,0.128544948
1994,GLO,Oil,0.379333824
1995,North America,Oil,0.015384377
1995,China,Oil,0
1995,South America,Oil,0.752523283
1995,Africa & Asia,Oil,0.472611288
1995,Europe,Oil,0.695355215
1995,Oceania,Oil,0.119390617
1995,GLO,Oil,0.368296067
1996,North America,Oil,0.043765495
1996,China,Oil,0
1996,South America,Oil,0.742609512
1996,Africa & Asia,Oil,0.461498553
1996,Europe,Oil,0.80543955
1996,Oceania,Oil,0.12409065
1996,GLO,Oil,0.385045578
1997,North America,Oil,0.037553856
1997,China,Oil,0
1997,South America,Oil,0.740007645
1997,Africa & Asia,Oil,0.432017665
1997,Europe,Oil,0.820359515
1997,Oceania,Oil,0.120627567
1997,GLO,Oil,0.396874148
1998,North America,Oil,0.044037188
1998,China,Oil,0.045601017
1998,South America,Oil,0.748740544
1998,Africa & Asia,Oil,0.433377088
1998,Europe,Oil,0.825124277
1998,Oceania,Oil,0.12188517
1998,GLO,Oil,0.313783122
1999,North America,Oil,0.05093289
1999,China,Oil,0.045602362
1999,South America,Oil,0.757770539
1999,Africa & Asia,Oil,0.412339524
